application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission,root,Income,Age
1,Female,FALSE,3.3,Business,Asian,620,3,Financial Services,Admit,620,620000,62
2,Male,FALSE,3.28,Humanities,Black,680,5,Investment Management,,680,680000,68
3,Female,TRUE,3.3,Business,,710,5,Technology,Admit,710,710000,71
4,Male,FALSE,3.47,STEM,Black,690,6,Technology,,690,690000,69
5,Male,FALSE,3.35,STEM,Hispanic,590,5,Consulting,,590,590000,59
6,Male,FALSE,3.18,Business,White,610,6,Consulting,,610,610000,61
7,Female,FALSE,2.93,STEM,Other,590,3,Technology,Admit,590,590000,59
8,Male,TRUE,3.02,Business,,630,6,Financial Services,,630,630000,63
9,Male,FALSE,3.24,Business,White,590,2,Nonprofit/Gov,,590,590000,59
10,Male,FALSE,3.27,Humanities,Asian,690,3,Consulting,,690,690000,69
11,Male,FALSE,3.05,Humanities,White,580,5,Technology,,580,580000,58
12,Male,TRUE,2.85,Humanities,,580,4,PE/VC,,580,580000,58
13,Female,FALSE,3.24,Humanities,Hispanic,640,6,PE/VC,Waitlist,640,640000,64
14,Female,FALSE,3.39,Business,Black,690,4,Nonprofit/Gov,,690,690000,69
15,Female,FALSE,3.03,STEM,White,600,5,Technology,Admit,600,600000,60
16,Female,TRUE,3.05,Humanities,,710,4,Consulting,Admit,710,710000,71
17,Female,FALSE,3.32,Business,Asian,710,5,PE/VC,Admit,710,710000,71
18,Male,FALSE,3.23,Humanities,Black,700,4,Health Care,,700,700000,70
19,Male,FALSE,3.13,Humanities,White,630,6,Financial Services,,630,630000,63
20,Male,TRUE,3.09,Business,,670,8,Consulting,,670,670000,67
21,Male,FALSE,3.46,Business,White,760,5,Investment Banking,Admit,760,760000,76
22,Female,FALSE,3.64,Humanities,Black,710,6,Financial Services,,710,710000,71
23,Female,TRUE,3.42,Business,,640,6,Consulting,Admit,640,640000,64
24,Male,FALSE,3.4,Business,White,680,6,PE/VC,,680,680000,68
25,Female,FALSE,3.47,STEM,White,710,5,Consulting,Admit,710,710000,71
26,Male,FALSE,3.26,Humanities,Asian,690,5,Technology,Admit,690,690000,69
27,Male,TRUE,2.99,STEM,,640,5,Consulting,,640,640000,64
28,Male,FALSE,3.39,STEM,Other,730,4,Other,,730,730000,73
29,Male,FALSE,3.08,Business,Asian,570,7,Retail,,570,570000,57
30,Male,TRUE,3.65,STEM,,700,5,Consulting,Admit,700,700000,70
31,Male,TRUE,3.04,STEM,,610,4,Consulting,,610,610000,61
32,Male,FALSE,3.19,Humanities,White,580,5,PE/VC,,580,580000,58
33,Male,FALSE,3.33,Humanities,Black,700,6,Investment Banking,,700,700000,70
34,Female,FALSE,3.53,STEM,White,710,5,Consulting,Admit,710,710000,71
35,Male,FALSE,3.5,Business,White,650,7,Consulting,,650,650000,65
36,Male,TRUE,3.22,Humanities,,670,4,Other,,670,670000,67
37,Male,FALSE,3.5,STEM,Hispanic,720,5,Health Care,,720,720000,72
38,Female,FALSE,3.16,STEM,Black,590,4,Investment Management,,590,590000,59
39,Female,FALSE,3.3,Humanities,Asian,740,6,Investment Banking,Admit,740,740000,74
40,Female,FALSE,3.45,Humanities,Asian,640,3,PE/VC,Admit,640,640000,64
41,Female,TRUE,3.12,Business,,610,4,PE/VC,Admit,610,610000,61
